Maintenance_ID,Truck_ID,Maintenance_Date,Maintenance_Type,Cost_USD,Downtime_Days,Parts_Replaced
M0001,T001,2023-06-05,Scheduled,992,3,"Exhaust System, Catalytic Converter"
M0002,T001,2023-04-23,Scheduled,4270,3,"Battery, Alternator"
M0003,T001,2023-01-16,Scheduled,4019,0,"Transmission Fluid, Clutch"
M0004,T001,2023-08-30,Scheduled,3752,1,"Transmission Fluid, Clutch"
M0005,T001,2023-09-27,Scheduled,4391,0,"Battery, Alternator"
M0006,T001,2024-02-29,Scheduled,3946,3,"Battery, Alternator"
M0007,T001,2024-08-14,Scheduled,4540,0,"Oil Filter, Air Filter"
M0008,T001,2023-03-17,Scheduled,1969,0,"Tires, Wheel Bearings"
M0009,T001,2023-11-08,Scheduled,1867,2,"Spark Plugs, Fuel Injectors"
M0010,T001,2024-03-29,Scheduled,1506,0,"Transmission Fluid, Clutch"
M0011,T001,2023-03-24,Scheduled,3532,0,"Transmission Fluid, Clutch"
M0012,T001,2023-11-16,Emergency,12966,5,"Spark Plugs, Fuel Injectors"
M0013,T003,2023-04-08,Scheduled,2576,3,"Radiator, Water Pump"
M0014,T003,2024-03-04,Scheduled,4336,0,"Tires, Wheel Bearings"
M0015,T003,2024-04-12,Scheduled,2700,3,"Oil Filter, Air Filter"
M0016,T003,2024-12-22,Scheduled,3968,2,"Tires, Wheel Bearings"
M0017,T003,2023-10-10,Scheduled,598,0,"Exhaust System, Catalytic Converter"
M0018,T003,2024-10-25,Scheduled,2829,3,"Spark Plugs, Fuel Injectors"
M0019,T004,2023-11-02,Scheduled,2997,3,"Tires, Wheel Bearings"
M0020,T004,2023-04-05,Scheduled,4280,2,"Battery, Alternator"
M0021,T004,2023-09-04,Scheduled,1047,2,"Spark Plugs, Fuel Injectors"
M0022,T004,2024-05-11,Scheduled,2851,3,"Exhaust System, Catalytic Converter"
M0023,T004,2023-09-23,Scheduled,522,1,"Transmission Fluid, Clutch"
M0024,T004,2024-09-13,Scheduled,1192,0,"Transmission Fluid, Clutch"
M0025,T004,2024-05-04,Scheduled,1463,1,"Spark Plugs, Fuel Injectors"
M0026,T004,2023-09-19,Scheduled,1456,2,"Battery, Alternator"
M0027,T004,2024-08-31,Scheduled,2492,3,"Transmission Fluid, Clutch"
M0028,T006,2024-07-22,Scheduled,2198,3,"Transmission Fluid, Clutch"
M0029,T006,2024-05-01,Scheduled,907,0,"Exhaust System, Catalytic Converter"
M0030,T006,2024-08-04,Scheduled,3731,2,"Exhaust System, Catalytic Converter"
M0031,T006,2024-06-16,Scheduled,3760,3,"Transmission Fluid, Clutch"
M0032,T006,2024-12-24,Scheduled,3633,2,"Battery, Alternator"
M0033,T006,2024-12-24,Scheduled,2011,3,"Battery, Alternator"
M0034,T006,2023-03-10,Scheduled,1797,2,"Radiator, Water Pump"
M0035,T006,2024-02-10,Scheduled,2957,2,"Transmission Fluid, Clutch"
M0036,T006,2023-03-06,Scheduled,4370,1,"Brake Pads, Brake Discs"
M0037,T006,2024-10-26,Emergency,3554,10,"Oil Filter, Air Filter"
M0038,T008,2023-10-14,Scheduled,6146,1,"Exhaust System, Catalytic Converter"
M0039,T008,2023-09-13,Scheduled,6200,0,"Battery, Alternator"
M0040,T008,2024-11-17,Scheduled,7570,0,"Brake Pads, Brake Discs"
M0041,T008,2023-04-16,Emergency,9323,2,"Exhaust System, Catalytic Converter"
M0042,T008,2023-08-30,Emergency,3658,1,"Radiator, Water Pump"
M0043,T008,2024-02-03,Scheduled,4761,2,"Spark Plugs, Fuel Injectors"
M0044,T008,2023-07-05,Scheduled,7815,3,"Spark Plugs, Fuel Injectors"
M0045,T008,2023-12-03,Scheduled,4874,0,"Transmission Fluid, Clutch"
M0046,T008,2024-01-15,Scheduled,4401,2,"Radiator, Water Pump"
M0047,T008,2023-10-13,Emergency,15813,4,"Brake Pads, Brake Discs"
M0048,T008,2024-09-09,Scheduled,1305,3,"Battery, Alternator"
M0049,T008,2023-10-29,Scheduled,1953,3,"Oil Filter, Air Filter"
M0050,T008,2023-10-06,Scheduled,5725,3,"Tires, Wheel Bearings"
M0051,T008,2024-06-12,Scheduled,4244,3,"Radiator, Water Pump"
M0052,T008,2023-03-31,Scheduled,3994,0,"Transmission Fluid, Clutch"
M0053,T008,2023-12-26,Scheduled,6988,3,"Brake Pads, Brake Discs"
M0054,T008,2023-04-19,Scheduled,837,1,"Battery, Alternator"
M0055,T008,2024-03-08,Scheduled,6932,3,"Transmission Fluid, Clutch"
M0056,T008,2023-04-13,Emergency,24291,5,"Brake Pads, Brake Discs"
M0057,T008,2024-02-20,Scheduled,4306,0,"Exhaust System, Catalytic Converter"
M0058,T008,2024-10-25,Scheduled,3985,1,"Radiator, Water Pump"
M0059,T008,2023-05-24,Emergency,11777,2,"Spark Plugs, Fuel Injectors"
M0060,T008,2024-02-11,Emergency,19500,7,"Transmission Fluid, Clutch"
M0061,T008,2023-12-31,Emergency,11229,1,"Battery, Alternator"
M0062,T008,2023-11-26,Scheduled,738,0,"Transmission Fluid, Clutch"
M0063,T008,2023-10-11,Scheduled,873,0,"Transmission Fluid, Clutch"
M0064,T008,2023-06-15,Scheduled,959,0,"Exhaust System, Catalytic Converter"
M0065,T010,2023-05-04,Scheduled,2817,1,"Radiator, Water Pump"
M0066,T010,2023-09-07,Scheduled,1073,0,"Exhaust System, Catalytic Converter"
M0067,T010,2024-10-11,Scheduled,3270,3,"Radiator, Water Pump"
M0068,T010,2024-11-02,Scheduled,1914,1,"Battery, Alternator"
M0069,T010,2023-05-04,Scheduled,4358,2,"Tires, Wheel Bearings"
M0070,T010,2023-11-23,Scheduled,2478,2,"Brake Pads, Brake Discs"
M0071,T010,2024-05-30,Scheduled,3813,2,"Oil Filter, Air Filter"
M0072,T010,2024-01-14,Scheduled,1981,0,"Oil Filter, Air Filter"
M0073,T010,2023-07-28,Scheduled,2906,1,"Spark Plugs, Fuel Injectors"
M0074,T011,2024-10-14,Scheduled,6257,2,"Radiator, Water Pump"
M0075,T011,2024-01-07,Emergency,8614,2,"Transmission Fluid, Clutch"
M0076,T011,2023-07-20,Emergency,4647,5,"Tires, Wheel Bearings"
M0077,T011,2023-05-03,Emergency,6758,5,"Exhaust System, Catalytic Converter"
M0078,T011,2023-12-08,Scheduled,6196,3,"Brake Pads, Brake Discs"
M0079,T011,2024-02-01,Emergency,15713,4,"Spark Plugs, Fuel Injectors"
M0080,T011,2023-11-10,Scheduled,6977,2,"Radiator, Water Pump"
M0081,T011,2024-11-07,Scheduled,3427,3,"Radiator, Water Pump"
M0082,T011,2024-06-10,Scheduled,1892,3,"Battery, Alternator"
M0083,T011,2024-12-18,Scheduled,5516,1,"Exhaust System, Catalytic Converter"
M0084,T011,2024-05-16,Emergency,13675,7,"Battery, Alternator"
M0085,T011,2023-05-01,Scheduled,1776,2,"Brake Pads, Brake Discs"
M0086,T011,2023-10-09,Emergency,6790,3,"Radiator, Water Pump"
M0087,T011,2023-07-29,Scheduled,3508,2,"Exhaust System, Catalytic Converter"
M0088,T012,2023-08-01,Scheduled,5956,0,"Battery, Alternator"
M0089,T012,2024-12-05,Scheduled,5734,3,"Battery, Alternator"
M0090,T012,2024-01-27,Emergency,14959,3,"Radiator, Water Pump"
M0091,T012,2024-12-15,Emergency,15240,5,"Battery, Alternator"
M0092,T012,2024-04-24,Scheduled,4128,0,"Battery, Alternator"
M0093,T012,2023-10-27,Scheduled,876,0,"Battery, Alternator"
M0094,T012,2023-11-02,Scheduled,5120,0,"Oil Filter, Air Filter"
M0095,T012,2024-09-01,Scheduled,2570,3,"Transmission Fluid, Clutch"
M0096,T012,2024-03-02,Scheduled,3695,3,"Brake Pads, Brake Discs"
M0097,T012,2024-09-30,Scheduled,5087,0,"Exhaust System, Catalytic Converter"
M0098,T013,2024-01-25,Scheduled,4041,1,"Tires, Wheel Bearings"
M0099,T013,2024-04-03,Scheduled,2047,0,"Oil Filter, Air Filter"
M0100,T013,2023-10-26,Scheduled,4031,1,"Exhaust System, Catalytic Converter"
M0101,T013,2024-10-26,Scheduled,1524,0,"Oil Filter, Air Filter"
M0102,T013,2024-11-14,Scheduled,4988,3,"Transmission Fluid, Clutch"
M0103,T013,2023-06-26,Scheduled,4262,1,"Exhaust System, Catalytic Converter"
M0104,T013,2023-03-04,Scheduled,889,0,"Oil Filter, Air Filter"
M0105,T013,2024-05-29,Scheduled,1499,0,"Brake Pads, Brake Discs"
M0106,T014,2023-07-25,Emergency,12902,7,"Spark Plugs, Fuel Injectors"
M0107,T014,2024-12-26,Scheduled,2090,2,"Battery, Alternator"
M0108,T014,2024-12-20,Emergency,9740,10,"Battery, Alternator"
M0109,T014,2024-05-26,Scheduled,2653,1,"Battery, Alternator"
M0110,T014,2024-04-04,Scheduled,4999,2,"Spark Plugs, Fuel Injectors"
M0111,T014,2024-09-26,Scheduled,2468,1,"Transmission Fluid, Clutch"
M0112,T014,2024-08-04,Scheduled,552,2,"Oil Filter, Air Filter"
M0113,T014,2023-06-03,Emergency,4073,6,"Exhaust System, Catalytic Converter"
M0114,T016,2023-10-14,Scheduled,2833,3,"Transmission Fluid, Clutch"
M0115,T016,2023-02-16,Scheduled,4136,0,"Transmission Fluid, Clutch"
M0116,T016,2023-11-06,Scheduled,1831,3,"Spark Plugs, Fuel Injectors"
M0117,T016,2023-11-16,Emergency,3027,2,"Transmission Fluid, Clutch"
M0118,T016,2024-02-28,Scheduled,989,2,"Oil Filter, Air Filter"
M0119,T016,2023-01-11,Scheduled,3721,0,"Battery, Alternator"
M0120,T016,2023-04-26,Scheduled,2649,2,"Tires, Wheel Bearings"
M0121,T016,2023-10-13,Scheduled,2811,3,"Brake Pads, Brake Discs"
M0122,T016,2024-09-29,Scheduled,4227,2,"Transmission Fluid, Clutch"
M0123,T016,2024-04-29,Emergency,6691,1,"Battery, Alternator"
M0124,T016,2024-02-03,Emergency,3833,10,"Tires, Wheel Bearings"
M0125,T016,2023-01-16,Scheduled,6668,2,"Spark Plugs, Fuel Injectors"
M0126,T016,2024-04-12,Emergency,3450,4,"Spark Plugs, Fuel Injectors"
M0127,T016,2024-08-25,Scheduled,1502,1,"Battery, Alternator"
M0128,T016,2023-03-29,Emergency,6755,6,"Spark Plugs, Fuel Injectors"
M0129,T016,2024-04-24,Scheduled,6099,1,"Radiator, Water Pump"
M0130,T017,2024-08-14,Scheduled,4227,0,"Tires, Wheel Bearings"
M0131,T017,2024-04-21,Emergency,14784,4,"Transmission Fluid, Clutch"
M0132,T017,2023-03-07,Emergency,7916,2,"Tires, Wheel Bearings"
M0133,T017,2023-09-14,Emergency,9813,10,"Oil Filter, Air Filter"
M0134,T017,2023-12-08,Scheduled,5915,3,"Exhaust System, Catalytic Converter"
M0135,T017,2024-01-01,Scheduled,6383,2,"Transmission Fluid, Clutch"
M0136,T017,2024-09-11,Scheduled,5099,3,"Transmission Fluid, Clutch"
M0137,T017,2023-06-24,Emergency,9651,9,"Tires, Wheel Bearings"
M0138,T017,2024-01-27,Scheduled,2928,3,"Oil Filter, Air Filter"
M0139,T017,2024-12-09,Emergency,11958,7,"Exhaust System, Catalytic Converter"
M0140,T017,2024-10-18,Scheduled,2329,0,"Tires, Wheel Bearings"
M0141,T017,2023-07-26,Scheduled,5238,1,"Transmission Fluid, Clutch"
M0142,T017,2023-08-12,Scheduled,7179,2,"Tires, Wheel Bearings"
M0143,T017,2023-10-16,Emergency,5138,5,"Exhaust System, Catalytic Converter"
M0144,T017,2024-08-17,Scheduled,4540,0,"Brake Pads, Brake Discs"
M0145,T017,2023-04-11,Scheduled,1994,0,"Transmission Fluid, Clutch"
M0146,T018,2023-12-20,Scheduled,1749,2,"Oil Filter, Air Filter"
M0147,T018,2024-02-11,Scheduled,4082,0,"Exhaust System, Catalytic Converter"
M0148,T018,2023-06-25,Scheduled,3129,2,"Transmission Fluid, Clutch"
M0149,T018,2023-09-01,Scheduled,1983,0,"Tires, Wheel Bearings"
M0150,T018,2023-05-11,Scheduled,4508,3,"Brake Pads, Brake Discs"
M0151,T018,2023-07-27,Emergency,10193,10,"Oil Filter, Air Filter"
M0152,T024,2023-05-04,Scheduled,4209,1,"Exhaust System, Catalytic Converter"
M0153,T024,2023-02-06,Scheduled,3748,2,"Brake Pads, Brake Discs"
M0154,T024,2024-11-02,Scheduled,5257,2,"Radiator, Water Pump"
M0155,T024,2024-12-09,Emergency,9020,6,"Radiator, Water Pump"
M0156,T024,2023-07-22,Scheduled,5665,1,"Battery, Alternator"
M0157,T024,2024-10-18,Scheduled,836,0,"Battery, Alternator"
M0158,T024,2023-02-03,Scheduled,4822,3,"Exhaust System, Catalytic Converter"
M0159,T024,2023-09-17,Scheduled,2155,0,"Brake Pads, Brake Discs"
M0160,T024,2023-06-17,Scheduled,2989,1,"Exhaust System, Catalytic Converter"
M0161,T024,2023-12-28,Scheduled,2920,2,"Battery, Alternator"
M0162,T024,2023-11-14,Scheduled,2621,1,"Oil Filter, Air Filter"
M0163,T024,2023-12-01,Scheduled,1523,2,"Tires, Wheel Bearings"
M0164,T024,2023-04-21,Emergency,18967,4,"Tires, Wheel Bearings"
M0165,T024,2024-10-09,Scheduled,3604,0,"Oil Filter, Air Filter"
M0166,T024,2023-09-06,Scheduled,5828,3,"Battery, Alternator"
M0167,T027,2024-08-29,Scheduled,1402,0,"Exhaust System, Catalytic Converter"
M0168,T027,2023-09-10,Emergency,11591,4,"Spark Plugs, Fuel Injectors"
M0169,T027,2024-04-14,Scheduled,1971,3,"Radiator, Water Pump"
M0170,T027,2023-12-07,Scheduled,3379,0,"Oil Filter, Air Filter"
M0171,T027,2023-04-06,Scheduled,922,2,"Oil Filter, Air Filter"
M0172,T027,2023-01-17,Emergency,6292,7,"Transmission Fluid, Clutch"
M0173,T027,2024-05-02,Scheduled,4069,2,"Oil Filter, Air Filter"
M0174,T027,2023-09-30,Scheduled,4585,1,"Exhaust System, Catalytic Converter"
M0175,T028,2023-10-31,Scheduled,650,1,"Oil Filter, Air Filter"
M0176,T028,2024-08-01,Emergency,9617,7,"Radiator, Water Pump"
M0177,T028,2024-12-17,Scheduled,3583,2,"Transmission Fluid, Clutch"
M0178,T028,2023-08-08,Scheduled,3742,3,"Transmission Fluid, Clutch"
M0179,T028,2024-07-12,Scheduled,2339,1,"Brake Pads, Brake Discs"
M0180,T028,2024-08-22,Scheduled,4797,2,"Transmission Fluid, Clutch"
M0181,T028,2023-04-01,Scheduled,1356,2,"Exhaust System, Catalytic Converter"
M0182,T029,2023-04-21,Scheduled,1131,3,"Brake Pads, Brake Discs"
M0183,T029,2023-11-19,Scheduled,4030,2,"Exhaust System, Catalytic Converter"
M0184,T029,2023-05-20,Scheduled,6301,3,"Battery, Alternator"
M0185,T029,2023-11-09,Scheduled,2106,0,"Transmission Fluid, Clutch"
M0186,T029,2023-12-22,Scheduled,6615,3,"Exhaust System, Catalytic Converter"
M0187,T029,2023-12-05,Scheduled,2857,2,"Brake Pads, Brake Discs"
M0188,T029,2023-01-23,Emergency,10749,9,"Battery, Alternator"
M0189,T029,2024-03-23,Scheduled,4521,0,"Transmission Fluid, Clutch"
M0190,T029,2023-09-21,Scheduled,5790,1,"Tires, Wheel Bearings"
M0191,T029,2024-11-08,Scheduled,1644,3,"Oil Filter, Air Filter"
M0192,T029,2023-12-11,Scheduled,2400,0,"Exhaust System, Catalytic Converter"
M0193,T029,2023-05-11,Emergency,16180,3,"Exhaust System, Catalytic Converter"
M0194,T029,2024-11-09,Scheduled,3297,1,"Radiator, Water Pump"
M0195,T029,2023-12-22,Scheduled,2424,1,"Oil Filter, Air Filter"
M0196,T029,2023-11-03,Scheduled,1653,1,"Spark Plugs, Fuel Injectors"
M0197,T029,2024-09-06,Emergency,4670,5,"Tires, Wheel Bearings"
M0198,T031,2023-04-21,Scheduled,4206,3,"Tires, Wheel Bearings"
M0199,T031,2024-05-16,Scheduled,1077,1,"Oil Filter, Air Filter"
M0200,T031,2024-07-21,Scheduled,3193,3,"Tires, Wheel Bearings"
M0201,T031,2024-11-19,Scheduled,3086,1,"Tires, Wheel Bearings"
M0202,T031,2023-01-30,Emergency,6894,7,"Tires, Wheel Bearings"
M0203,T031,2024-06-13,Scheduled,2999,3,"Tires, Wheel Bearings"
M0204,T031,2023-05-31,Emergency,7483,6,"Tires, Wheel Bearings"
M0205,T031,2024-02-15,Scheduled,4918,2,"Oil Filter, Air Filter"
M0206,T031,2023-11-20,Emergency,7708,5,"Spark Plugs, Fuel Injectors"
M0207,T031,2024-05-04,Scheduled,3451,3,"Radiator, Water Pump"
